MÉTRICA,VALOR
--- 2LEADS - SPLIT PER CHANNEL ---,
# of new leads,3750
Target,Manual
Paid online Marketing,2190
Meta - Paid Social,1213
Google - Paid Search,977
C2C referrals,Manual
Family & friends,0
PR /Events / Organic,1291
Marketing Influencers,Manual
Partnerships,0
App,0
Ambassadors,0
Outbound,0
B2C referrals,0
Indonesia,429
Ireland,185
Wealth,0
,
--- 5ENGAGEMENTS - SPLIT PER CHANNEL ---,
# of new Engagements (Sales CONTEO),120.0
Deal Source (Closers + PC),87
Value Partner (SUMA DE VALOR),33.0
Paid Online Marketing,44
Meta,16
Google,28
C2C,11
Family and Friends,7
PR / Events / Organic,20
Marketing Influencers,0
Partnerships,2
App,2
Ambassador,19
Outbound Sales,0
,
--- 6Deal Type ---,
New,73
New Multi,7
Repeat,8
Repeat Multi,1
